condition,calibrator,episode,coverage_certified,coverage_allk,steps,success
speed_between,online cp,27,0.9812599681020734,0.9769736842105263,209,1
speed_between,online cp,28,0.9780361757105943,0.9583287154992581,129,1
speed_between,online cp,29,0.9782021604938271,0.9629891424162258,144,1
speed_between,online cp,30,0.9779569892473118,0.9704301075268817,155,1
speed_between,online cp,31,0.9838709677419355,0.9841229838709677,248,1
speed_between,online cp,32,0.9753401360544218,0.9618943863204067,196,1
speed_between,online cp,33,0.9837606837606838,0.9712606837606838,195,1
speed_between,online cp,34,0.9804852320675106,0.9704641350210971,158,1
speed_between,online cp,35,0.9797720797720798,0.9734686609686609,195,1
speed_between,online cp,36,0.9829317269076305,0.9653614457831325,166,1
speed_between,online cp,37,0.977069351230425,0.9717561521252797,149,1
speed_between,online cp,38,0.9908119658119658,0.9758738377007607,130,1
speed_between,online cp,39,0.9752136752136752,0.956491720530182,130,1
speed_between,aci,0,0.9763374485596708,0.95412018708315,135,1
speed_between,aci,1,0.9831699346405228,0.9673611111111111,170,1
speed_between,aci,2,0.9819223985890653,0.9693962195946323,126,1
speed_between,aci,3,0.9865520282186949,0.9634438386422514,126,1
speed_between,aci,4,0.9885430177258971,0.981672206234463,257,1
speed_between,aci,5,0.9927849927849928,0.9817246125687684,154,1
speed_between,aci,6,0.9767857142857143,0.9611607142857143,140,1
speed_between,aci,7,0.983974358974359,0.9682692307692308,130,1
speed_between,aci,8,0.9923007246376812,0.9868659420289855,184,1
speed_between,aci,9,0.9813813813813814,0.9693590468590468,185,1
speed_between,aci,10,0.9724220623501199,0.9592326139088729,139,1
speed_between,aci,11,0.9848121502797762,0.9687226642262614,139,1
speed_between,aci,12,0.9859307359307359,0.9734848484848485,154,1
speed_between,aci,13,0.9866107114308553,0.977204486826789,139,1
speed_between,aci,14,0.9872495446265938,0.9748406193078324,183,1
speed_between,aci,15,0.9809160305343512,0.9602801637152782,131,1
speed_between,aci,16,0.9903100775193798,0.9793456615162042,129,1
speed_between,aci,17,0.9888888888888889,0.987037037037037,135,1
speed_between,aci,18,0.9825296995108316,0.9712930209785555,159,1
speed_between,aci,19,0.9845679012345679,0.9797398589065256,126,1
speed_between,aci,20,0.9841269841269842,0.962977726271377,126,1
speed_between,aci,21,0.9796934865900383,0.9613127166575443,145,1
speed_between,aci,22,0.9796082209377007,0.96153823429835,173,1
speed_between,aci,23,0.9853801169590644,0.9705460123588778,171,1
speed_between,aci,24,0.9887387387387387,0.9752252252252253,148,1
speed_between,aci,25,0.9867521367521368,0.9699786324786325,195,1
speed_between,aci,26,0.9910586552217453,0.9796137339055794,233,1
speed_between,aci,27,0.9819641916798315,0.9645421938075966,211,1
speed_between,aci,28,0.9833333333333334,0.9738431440354517,195,1
speed_between,aci,29,0.9993961352657005,0.9998490338164251,138,1
speed_between,aci,30,0.9728049728049728,0.9537550994718826,143,1
speed_between,aci,31,0.985936188077246,0.9764378673383711,397,1
speed_between,aci,32,0.9904166666666667,0.9867708333333334,200,1
speed_between,aci,33,0.988615664845173,0.9821265938069217,183,1
speed_between,aci,34,0.9764957264957265,0.9559264346764347,130,1
speed_between,aci,35,0.9898884239888424,0.9781206415620641,239,1
speed_between,aci,36,0.9873188405797102,0.9723731884057971,138,1
speed_between,aci,37,0.9849806201550387,0.9715358527131783,172,1
speed_between,aci,38,0.989821882951654,0.9889737065309584,131,1
speed_between,aci,39,0.9787955894826124,0.9610117158781281,131,1
speed_between,dtaci,0,0.9801840056617127,0.9605492054536641,157,1
speed_between,dtaci,1,0.9824471710974778,0.9598553599320471,163,1
speed_between,dtaci,2,0.9832485156912638,0.9707233358950916,131,1
speed_between,dtaci,3,0.9888888888888889,0.9642481307865923,130,1
speed_between,dtaci,4,0.9840396631350177,0.9665804979680286,409,1
speed_between,dtaci,5,0.9982638888888888,0.9978298611111112,144,1
speed_between,dtaci,6,0.9748498498498499,0.9559590840840841,148,1
speed_between,dtaci,7,0.9853479853479854,0.9709249084249084,182,1
speed_between,dtaci,8,0.9920159680638723,0.9842814371257484,167,1
speed_between,dtaci,9,0.9853988603988604,0.9796886132623313,156,1
speed_between,dtaci,10,0.9723926380368099,0.9488752556237219,163,1
speed_between,dtaci,11,0.9901960784313726,0.9790134803921569,136,1
speed_between,dtaci,12,0.9856770833333334,0.9716796875,128,1
speed_between,dtaci,13,0.984520780322307,0.9761304605770255,131,1
speed_between,dtaci,14,0.9893939393939394,0.9821969696969697,165,1
speed_between,dtaci,15,0.978515625,0.9701900421626984,128,1
speed_between,dtaci,16,0.9888888888888889,0.9745983800150467,150,1
speed_between,dtaci,17,0.9921875,0.9871419270833334,128,1
speed_between,dtaci,18,0.9839181286549707,0.9725751557166031,152,1
speed_between,dtaci,19,0.9867724867724867,0.9821428571428571,126,1
speed_between,dtaci,20,0.9824561403508771,0.9617934349137357,133,1
speed_between,dtaci,21,0.9819041032733978,0.9678135085292762,241,1
speed_between,dtaci,22,0.9927536231884058,0.989217824747716,184,1
speed_between,dtaci,23,0.9864457831325302,0.9696588440564344,166,1
speed_between,dtaci,24,0.993452380952381,0.9842261904761904,140,1
speed_between,dtaci,25,0.9904761904761905,0.9805555555555555,210,1
speed_between,dtaci,26,0.9868421052631579,0.9694809941520468,228,1
speed_between,dtaci,27,0.9814342403628118,0.9690311271306169,196,1
speed_between,dtaci,28,0.9859437751004017,0.9739380641112569,332,1
speed_between,dtaci,29,0.978673835125448,0.9577385756418014,155,1
speed_between,dtaci,30,0.9830827067669173,0.9738408521303258,133,1
speed_between,dtaci,31,0.9906759906759907,0.9817162004662005,286,1
speed_between,dtaci,32,0.9886934673366834,0.9831149796602058,199,1
speed_between,dtaci,33,0.9846938775510204,0.9724702380952381,196,1
speed_between,dtaci,34,0.9915529564652372,0.9776640675763483,171,1
speed_between,dtaci,35,0.9832451499118166,0.9740961199294532,189,1
speed_between,dtaci,36,0.9869942196531792,0.970616570327553,173,1
speed_between,dtaci,37,0.9853801169590644,0.9728313840155945,171,1
speed_between,dtaci,38,0.9936868686868687,0.9881628787878788,132,1
speed_between,dtaci,39,0.9771748492678726,0.9613762386049207,129,1
speed_between,aci max,0,0.9679343773303505,0.9625380926555424,149,1
speed_between,aci max,1,0.9575530586766542,0.951061545092444,178,1
speed_between,aci max,2,0.9620811287477954,0.9579874894359022,126,1
speed_between,aci max,3,0.9462174940898345,0.9379587151750273,141,1
speed_between,aci max,4,0.9597222222222223,0.968203125,160,1
speed_between,aci max,5,0.9250841750841751,0.9170439233886204,132,1
speed_between,aci max,6,0.9465675866949752,0.9516193172244127,157,1
speed_between,aci max,7,0.9388083735909823,0.9395632045088567,138,1
speed_between,aci max,8,0.9648362235067437,0.9651080160473224,173,1
speed_between,aci max,9,0.9570473251028806,0.957418430335097,216,1
speed_between,aci max,10,0.9407552083333334,0.9126369904690217,128,1
speed_between,aci max,11,0.9517224648229015,0.9480889258727687,229,1
speed_between,aci max,12,0.9644444444444444,0.9784111111111111,125,1
speed_between,aci max,13,0.9464894342194956,0.9346857839956,163,1
speed_between,aci max,14,0.9474393530997305,0.9565968659971356,371,1
speed_between,aci max,15,0.9173228346456693,0.8965540474398742,127,1
speed_between,aci max,16,0.9678571428571429,0.9598933540004968,210,1
speed_between,aci max,17,0.9575281803542673,0.9547350998437955,138,1
speed_between,aci max,18,0.9467068878833584,0.9470619072146221,442,1
speed_between,aci max,19,0.9402777777777778,0.9371301020408164,140,1
speed_between,aci max,20,0.9652777777777778,0.9810407366071429,128,1
speed_between,aci max,21,0.9548116492560937,0.9448089079855462,351,1
speed_between,aci max,22,0.9476976976976977,0.9582234519734519,222,1
speed_between,aci max,23,0.9423868312757202,0.9517666078777189,135,1
speed_between,aci max,24,0.9791666666666666,0.9929220085470085,156,1
speed_between,aci max,25,0.9449752300070772,0.9563811984194149,157,1
speed_between,aci max,26,0.950721908349027,0.9684949780288763,177,1
speed_between,aci max,27,0.9385964912280702,0.9495339912280701,152,1
speed_between,aci max,28,0.9453193350831146,0.9480073131155808,254,1
speed_between,aci max,29,0.951797385620915,0.9490604575163398,136,1
speed_between,aci max,30,0.9627700617283951,0.9718846450617284,144,1
speed_between,aci max,31,0.9652061855670103,0.9812070446735395,194,1
speed_between,aci max,32,0.931054131054131,0.9378496645804338,195,1
speed_between,aci max,33,0.9569486404833837,0.9597809667673716,331,1
speed_between,aci max,34,0.9581413210445469,0.9689836149513569,217,1
speed_between,aci max,35,0.9505665204678363,0.9665433114035088,304,1
speed_between,aci max,36,0.9407407407407408,0.9449074074074074,150,1
speed_between,aci max,37,0.964769647696477,0.9740430216802168,164,1
speed_between,aci max,38,0.9528769841269841,0.9562773639224532,224,1
speed_between,aci max,39,0.9457424714434061,0.9543572499958792,321,1
speed_between,aci max+,0,0.9524134790528234,0.9657174299592333,122,1
speed_between,aci max+,1,0.9466374269005848,0.9589267518543835,152,1
speed_between,aci max+,2,0.9448888888888889,0.9410482147482148,125,1
speed_between,aci max+,3,0.924,0.9315831057831058,125,1
