variant,success,steps,collisions,closest,heading,tube
full (replan 4),1.0,160.5,0.42,0.8041312586898632,9.999807723128438,0.9511526129516679
projection only,1.0,160.1,1.92,0.7947994250620151,9.218242713956839,0.9519694536311656
cbf only,1.0,159.38,0.66,0.7937050295729164,9.937044748508102,0.9512745859499024
selection only,1.0,169.34,10.2,0.5787551543916057,5.291879762570634,0.9513566786928539
"full, replan 2",1.0,144.38,1.04,0.6936505484197271,7.795365598234957,0.952041877782494
raw,1.0,136.34,5.46,0.5812294327994956,3.689496044850855,nan
